ticker,year,value,source,source_url,retrieved,note
RTX,2023,0.385,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"254 recordable cases (78 days-away, 62 restricted) / 131814164 hours at 54 establishments, 68272 avg employees; matched by ein 10, sec name 1, ex-21 subsidiary 43; sites listed in social/raw/osha_establishments.csv"
RTX,2024,0.412,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"260 recordable cases (63 days-away, 61 restricted) / 126170296 hours at 51 establishments, 65253 avg employees; matched by ein 12, sec name 0, ex-21 subsidiary 39; sites listed in social/raw/osha_establishments.csv"
RVTY,2022,1.52,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"16 recordable cases (9 days-away, 3 restricted) / 2104977 hours at 5 establishments, 1165 avg employees; matched by ein 1, sec name 3, ex-21 subsidiary 1; sites listed in social/raw/osha_establishments.csv"
RVTY,2023,0.805,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"9 recordable cases (0 days-away, 4 restricted) / 2234953 hours at 6 establishments, 1202 avg employees; matched by ein 1, sec name 3, ex-21 subsidiary 2; sites listed in social/raw/osha_establishments.csv"
RVTY,2024,0.723,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"13 recordable cases (5 days-away, 0 restricted) / 3594043 hours at 6 establishments, 2259 avg employees; matched by ein 1, sec name 4, ex-21 subsidiary 1; sites listed in social/raw/osha_establishments.csv"
SBUX,2022,0.891,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"3 recordable cases (2 days-away, 1 restricted) / 673038 hours at 4 establishments, 304 avg employees; matched by ein 3, sec name 1, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SBUX,2023,4.101,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"40 recordable cases (20 days-away, 13 restricted) / 1950722 hours at 7 establishments, 985 avg employees; matched by ein 3, sec name 4, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SBUX,2024,3.151,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"31 recordable cases (11 days-away, 17 restricted) / 1967624 hours at 6 establishments, 1046 avg employees; matched by ein 2, sec name 4, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SHW,2022,1.488,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"218 recordable cases (124 days-away, 27 restricted) / 29310232 hours at 112 establishments, 15631 avg employees; matched by ein 81, sec name 31, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SHW,2023,1.541,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"154 recordable cases (76 days-away, 26 restricted) / 19984322 hours at 96 establishments, 9919 avg employees; matched by ein 94, sec name 2, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SHW,2024,1.638,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"153 recordable cases (86 days-away, 17 restricted) / 18680437 hours at 102 establishments, 9737 avg employees; matched by ein 101, sec name 1, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SJM,2022,1.811,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"42 recordable cases (17 days-away, 9 restricted) / 4637972 hours at 9 establishments, 2343 avg employees; matched by ein 3, sec name 4, ex-21 subsidiary 2; sites listed in social/raw/osha_establishments.csv"
SJM,2023,1.126,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"19 recordable cases (5 days-away, 4 restricted) / 3374845 hours at 6 establishments, 1624 avg employees; matched by ein 2, sec name 3, ex-21 subsidiary 1; sites listed in social/raw/osha_establishments.csv"
SJM,2024,1.79,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"39 recordable cases (18 days-away, 14 restricted) / 4358186 hours at 6 establishments, 2190 avg employees; matched by ein 2, sec name 3, ex-21 subsidiary 1; sites listed in social/raw/osha_establishments.csv"
SLB,2022,0.419,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"6 recordable cases (4 days-away, 2 restricted) / 2861130 hours at 3 establishments, 1201 avg employees; matched by ein 0, sec name 3, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SLB,2023,0.467,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"6 recordable cases (0 days-away, 4 restricted) / 2567070 hours at 3 establishments, 1099 avg employees; matched by ein 1, sec name 2, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SNA,2022,2.12,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"60 recordable cases (18 days-away, 22 restricted) / 5660280 hours at 12 establishments, 2617 avg employees; matched by ein 0, sec name 10, ex-21 subsidiary 2; sites listed in social/raw/osha_establishments.csv"
SNA,2023,2.593,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"63 recordable cases (22 days-away, 19 restricted) / 4858847 hours at 12 establishments, 2284 avg employees; matched by ein 0, sec name 10, ex-21 subsidiary 2; sites listed in social/raw/osha_establishments.csv"
SNA,2024,2.133,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"50 recordable cases (16 days-away, 15 restricted) / 4687728 hours at 13 establishments, 2372 avg employees; matched by ein 1, sec name 10, ex-21 subsidiary 2; sites listed in social/raw/osha_establishments.csv"
SO,2022,2.485,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"400 recordable cases (129 days-away, 125 restricted) / 32194119 hours at 207 establishments, 16055 avg employees; matched by ein 0, sec name 23, ex-21 subsidiary 184; sites listed in social/raw/osha_establishments.csv"
SO,2023,2.671,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"524 recordable cases (168 days-away, 175 restricted) / 39243100 hours at 239 establishments, 19607 avg employees; matched by ein 0, sec name 21, ex-21 subsidiary 218; sites listed in social/raw/osha_establishments.csv"
SO,2024,2.846,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"462 recordable cases (166 days-away, 137 restricted) / 32467064 hours at 198 establishments, 16359 avg employees; matched by ein 0, sec name 28, ex-21 subsidiary 170; sites listed in social/raw/osha_establishments.csv"
SRE,2022,0.0,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"0 recordable cases (0 days-away, 0 restricted) / 9149111 hours at 102 establishments, 5089 avg employees; matched by ein 101, sec name 1, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SRE,2023,0.101,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"2 recordable cases (0 days-away, 0 restricted) / 3941768 hours at 96 establishments, 2215 avg employees; matched by ein 95, sec name 1, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
SRE,2024,2.204,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"195 recordable cases (56 days-away, 93 restricted) / 17696166 hours at 139 establishments, 9995 avg employees; matched by ein 15, sec name 0, ex-21 subsidiary 124; sites listed in social/raw/osha_establishments.csv"
STE,2022,1.183,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"68 recordable cases (11 days-away, 18 restricted) / 11497659 hours at 28 establishments, 5706 avg employees; matched by ein 0, sec name 18, ex-21 subsidiary 10; sites listed in social/raw/osha_establishments.csv"
STE,2023,1.628,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"79 recordable cases (24 days-away, 19 restricted) / 9706790 hours at 28 establishments, 4607 avg employees; matched by ein 0, sec name 21, ex-21 subsidiary 7; sites listed in social/raw/osha_establishments.csv"
STE,2024,1.374,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"86 recordable cases (22 days-away, 24 restricted) / 12522024 hours at 32 establishments, 5891 avg employees; matched by ein 0, sec name 25, ex-21 subsidiary 7; sites listed in social/raw/osha_establishments.csv"
STLD,2022,1.762,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"161 recordable cases (24 days-away, 63 restricted) / 18277368 hours at 48 establishments, 8716 avg employees; matched by ein 0, sec name 13, ex-21 subsidiary 35; sites listed in social/raw/osha_establishments.csv"
STLD,2023,1.678,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"153 recordable cases (34 days-away, 37 restricted) / 18239990 hours at 47 establishments, 8606 avg employees; matched by ein 0, sec name 12, ex-21 subsidiary 35; sites listed in social/raw/osha_establishments.csv"
STLD,2024,1.595,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"165 recordable cases (26 days-away, 46 restricted) / 20695108 hours at 53 establishments, 9757 avg employees; matched by ein 0, sec name 14, ex-21 subsidiary 39; sites listed in social/raw/osha_establishments.csv"
STX,2022,0.55,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"26 recordable cases (16 days-away, 4 restricted) / 9463143 hours at 6 establishments, 4509 avg employees; matched by ein 0, sec name 6, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
STX,2023,0.705,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"27 recordable cases (13 days-away, 5 restricted) / 7663501 hours at 6 establishments, 3739 avg employees; matched by ein 0, sec name 6, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
STX,2024,0.514,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"17 recordable cases (4 days-away, 7 restricted) / 6619777 hours at 6 establishments, 3347 avg employees; matched by ein 0, sec name 6, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
STZ,2022,2.683,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"33 recordable cases (4 days-away, 26 restricted) / 2459604 hours at 14 establishments, 1571 avg employees; matched by ein 0, sec name 0, ex-21 subsidiary 14; sites listed in social/raw/osha_establishments.csv"
STZ,2023,1.772,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"24 recordable cases (4 days-away, 12 restricted) / 2708608 hours at 15 establishments, 1528 avg employees; matched by ein 0, sec name 0, ex-21 subsidiary 15; sites listed in social/raw/osha_establishments.csv"
STZ,2024,1.691,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"23 recordable cases (4 days-away, 12 restricted) / 2720515 hours at 16 establishments, 1540 avg employees; matched by ein 0, sec name 0, ex-21 subsidiary 16; sites listed in social/raw/osha_establishments.csv"
SW,2022,1.646,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"651 recordable cases (175 days-away, 267 restricted) / 79109182 hours at 251 establishments, 38308 avg employees; matched by ein 0, sec name 0, ex-21 subsidiary 251; sites listed in social/raw/osha_establishments.csv"
SW,2023,1.648,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"567 recordable cases (168 days-away, 227 restricted) / 68800554 hours at 227 establishments, 34191 avg employees; matched by ein 0, sec name 0, ex-21 subsidiary 227; sites listed in social/raw/osha_establishments.csv"
SW,2024,1.459,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"520 recordable cases (143 days-away, 201 restricted) / 71302360 hours at 218 establishments, 33557 avg employees; matched by ein 0, sec name 1, ex-21 subsidiary 217; sites listed in social/raw/osha_establishments.csv"
SWK,2022,2.598,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"247 recordable cases (63 days-away, 99 restricted) / 19013394 hours at 33 establishments, 9283 avg employees; matched by ein 5, sec name 20, ex-21 subsidiary 8; sites listed in social/raw/osha_establishments.csv"
SWK,2023,1.869,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"160 recordable cases (42 days-away, 73 restricted) / 17123867 hours at 30 establishments, 8350 avg employees; matched by ein 3, sec name 20, ex-21 subsidiary 7; sites listed in social/raw/osha_establishments.csv"
SWK,2024,1.129,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"93 recordable cases (32 days-away, 30 restricted) / 16479904 hours at 26 establishments, 8283 avg employees; matched by ein 3, sec name 16, ex-21 subsidiary 7; sites listed in social/raw/osha_establishments.csv"
SWKS,2022,0.99,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"26 recordable cases (9 days-away, 12 restricted) / 5255103 hours at 11 establishments, 2834 avg employees; matched by ein 9, sec name 1, ex-21 subsidiary 1; sites listed in social/raw/osha_establishments.csv"
