file,url,retrieved_utc,bytes
revenue_frames.csv <- RegulatedAndUnregulatedOperatingRevenue CY2019,https://data.sec.gov/api/xbrl/frames/us-gaap/RegulatedAndUnregulatedOperatingRevenue/USD/CY2019.json,2026-09-12T20:10:11Z,3641
revenue_frames.csv <- RegulatedAndUnregulatedOperatingRevenue CY2020,https://data.sec.gov/api/xbrl/frames/us-gaap/RegulatedAndUnregulatedOperatingRevenue/USD/CY2020.json,2026-09-12T20:10:11Z,3785
revenue_frames.csv <- RegulatedAndUnregulatedOperatingRevenue CY2021,https://data.sec.gov/api/xbrl/frames/us-gaap/RegulatedAndUnregulatedOperatingRevenue/USD/CY2021.json,2026-09-12T20:10:12Z,3784
revenue_frames.csv <- RegulatedAndUnregulatedOperatingRevenue CY2022,https://data.sec.gov/api/xbrl/frames/us-gaap/RegulatedAndUnregulatedOperatingRevenue/USD/CY2022.json,2026-09-12T20:10:12Z,3633
revenue_frames.csv <- RegulatedAndUnregulatedOperatingRevenue CY2023,https://data.sec.gov/api/xbrl/frames/us-gaap/RegulatedAndUnregulatedOperatingRevenue/USD/CY2023.json,2026-09-12T20:10:12Z,3938
revenue_frames.csv <- RegulatedAndUnregulatedOperatingRevenue CY2024,https://data.sec.gov/api/xbrl/frames/us-gaap/RegulatedAndUnregulatedOperatingRevenue/USD/CY2024.json,2026-09-12T20:10:12Z,3788
revenue_frames.csv <- RegulatedAndUnregulatedOperatingRevenue CY2025,https://data.sec.gov/api/xbrl/frames/us-gaap/RegulatedAndUnregulatedOperatingRevenue/USD/CY2025.json,2026-09-12T20:10:12Z,3494
revenue_frames.csv <- InterestAndDividendIncomeOperating CY2019,https://data.sec.gov/api/xbrl/frames/us-gaap/InterestAndDividendIncomeOperating/USD/CY2019.json,2026-09-12T20:10:15Z,87225
revenue_frames.csv <- InterestAndDividendIncomeOperating CY2020,https://data.sec.gov/api/xbrl/frames/us-gaap/InterestAndDividendIncomeOperating/USD/CY2020.json,2026-09-12T20:10:15Z,85068
revenue_frames.csv <- InterestAndDividendIncomeOperating CY2021,https://data.sec.gov/api/xbrl/frames/us-gaap/InterestAndDividendIncomeOperating/USD/CY2021.json,2026-09-12T20:10:16Z,82521
revenue_frames.csv <- InterestAndDividendIncomeOperating CY2022,https://data.sec.gov/api/xbrl/frames/us-gaap/InterestAndDividendIncomeOperating/USD/CY2022.json,2026-09-12T20:10:16Z,79791
revenue_frames.csv <- InterestAndDividendIncomeOperating CY2023,https://data.sec.gov/api/xbrl/frames/us-gaap/InterestAndDividendIncomeOperating/USD/CY2023.json,2026-09-12T20:10:17Z,75302
revenue_frames.csv <- InterestAndDividendIncomeOperating CY2024,https://data.sec.gov/api/xbrl/frames/us-gaap/InterestAndDividendIncomeOperating/USD/CY2024.json,2026-09-12T20:10:17Z,74401
revenue_frames.csv <- InterestAndDividendIncomeOperating CY2025,https://data.sec.gov/api/xbrl/frames/us-gaap/InterestAndDividendIncomeOperating/USD/CY2025.json,2026-09-12T20:10:17Z,68337
