tag,year,cik,start,end,val,accn,url
Revenues,2019,59478,2019-01-01,2019-12-31,22319500000,0000059478-22-000068,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,60086,2019-01-01,2019-12-31,14931000000,0000060086-22-000007,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,63754,2018-12-01,2019-11-30,5347400000,0000063754-22-000005,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,63908,2019-01-01,2019-12-31,21364400000,0000063908-22-000011,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,64803,2019-01-01,2019-12-31,256776000000,0000064803-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,66740,2019-01-01,2019-12-31,32136000000,0000066740-22-000038,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,70858,2019-01-01,2019-12-31,91244000000,0000070858-22-000062,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,72741,2019-01-01,2019-12-31,8526470000,0000072741-22-000015,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,72971,2019-01-01,2019-12-31,85063000000,0000072971-20-000217,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,73124,2019-01-01,2019-12-31,6073100000,0000073124-22-000071,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,74208,2019-01-01,2019-12-31,1152193000,0000074208-22-000010,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,75362,2019-01-01,2019-12-31,25599700000,0001564590-22-006237,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,77476,2018-12-30,2019-12-28,67161000000,0000077476-22-000010,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,79282,2019-01-01,2019-12-31,2392171000,0000950170-22-001654,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,80424,2018-07-01,2019-06-30,67684000000,0000080424-21-000100,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,80661,2019-01-01,2019-12-31,39022300000,0000080661-22-000046,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,84839,2019-01-01,2019-12-31,2015477000,0001171200-21-000076,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,86312,2019-01-01,2019-12-31,31581000000,0000086312-22-000013,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,89800,2019-01-01,2019-12-31,17900800000,0000089800-20-000005,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
