year,facility_id,parent_company_raw,owner_segment,share,facility_co2e_tonnes,ticker,attributed_co2e_tonnes
2018,1000302,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,69355.38799999999,D,69355.38799999999
2018,1000303,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,65977.20199999999,D,65977.20199999999
2018,1000312,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,174739.75,D,174739.75
2018,1000317,ALLIANT ENERGY CORP (100%),ALLIANT ENERGY CORP,1.0,1125571.428,LNT,1125571.428
2018,1000318,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,739497.036,VST,739497.036
2018,1000319,WESTROCK CO (100%),WESTROCK CO,1.0,1632478.426,SW,1632478.426
2018,1000326,EXELON CORP (100%),EXELON CORP,1.0,57191.52,EXC,57191.52
2018,1000340,DYNEGY INC (80%); Vistra Energy Corp (20%),Vistra Energy Corp,0.2,5088605.744,VST,1017721.1488000001
2018,1000363,GOODRICH CORP (100%),GOODRICH CORP,1.0,13280.6,RTX,13280.6
2018,1000364,SOUTHERN CO (100%),SOUTHERN CO,1.0,701169.3219999999,SO,701169.3219999999
2018,1000375,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,5912780.15,AEP,5912780.15
2018,1000376,ARCHER DANIELS MIDLAND CO (100%),ARCHER DANIELS MIDLAND CO,1.0,102194.74799999999,ADM,102194.74799999999
2018,1000377,INTERNATIONAL PAPER CO (100%),INTERNATIONAL PAPER CO,1.0,104592.25,IP,104592.25
2018,1000378,ABBOTT LABORATORIES (100%),ABBOTT LABORATORIES,1.0,29488.987999999998,ABT,29488.987999999998
2018,1000380,GENERAL MOTORS LLC (100%),GENERAL MOTORS LLC,1.0,46512.924,GM,46512.924
2018,1000383,BIOGEN IDEC INC (100%),BIOGEN IDEC INC,1.0,30257.787999999997,BIIB,30257.787999999997
2018,1000402,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,188748.69999999998,DUK,188748.69999999998
2018,1000410,SEMPRA ENERGY INC (100.0%),SEMPRA ENERGY INC,1.0,752157.216,SRE,752157.216
2018,1000412,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,20836.018,D,20836.018
2018,1000419,WALTER SCOTT JR (9.2%); BERKSHIRE HATHAWAY INC (89.8%); GREG ABEL (1%),BERKSHIRE HATHAWAY INC,0.898,311753.596,BRK.B,279954.729208
2018,1000421,WEC Energy Group (100%),WEC Energy Group,1.0,1237611.064,WEC,1237611.064
2018,1000424,XCEL ENERGY (100%),XCEL ENERGY,1.0,70723.12,XEL,70723.12
2018,1000426,WESTROCK CO (100%),WESTROCK CO,1.0,2375570.782,SW,2375570.782
2018,1000431,NRG ENERGY INC (100%),NRG ENERGY INC,1.0,485608.752,NRG,485608.752
2018,1000432,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,2031461.972,VST,2031461.972
2018,1000434,INTERNATIONAL PAPER CO (100%),INTERNATIONAL PAPER CO,1.0,967938.358,IP,967938.358
2018,1000436,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,978355.424,BRK.B,978355.424
2018,1000437,SOUTHERN CO (100%),SOUTHERN CO,1.0,220703.656,SO,220703.656
2018,1000439,PACIFIC GAS & ELECTRIC CO (100%),PACIFIC GAS & ELECTRIC CO,1.0,31253.706000000002,PCG,31253.706000000002
2018,1000445,ALLIANT ENERGY CORP (100%),ALLIANT ENERGY CORP,1.0,218202.992,LNT,218202.992
2018,1000446,NEWMONT USA LTD (100%),NEWMONT USA LTD,1.0,1077650.5939999998,NEM,1077650.5939999998
2018,1000447,SEMPRA ENERGY INC (100.0%),SEMPRA ENERGY INC,1.0,50380.264,SRE,50380.264
2018,1000454,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,1938865.1639999999,BRK.B,1938865.1639999999
2018,1000460,SOUTHERN CO (100%),SOUTHERN CO,1.0,3416996.936,SO,3416996.936
2018,1000466,ARCHER DANIELS MIDLAND CO (100%),ARCHER DANIELS MIDLAND CO,1.0,496328.332,ADM,496328.332
2018,1000487,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,32716.228,AEP,32716.228
2018,1000490,NRG ENERGY INC (100%),NRG ENERGY INC,1.0,21479.12,NRG,21479.12
2018,1000491,WEC Energy Group (84%); Madison Gas & Electric (8%); WPPI Energy (8%),WEC Energy Group,0.84,7944070.47,WEC,6673019.1948
2018,1000499,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,268294.224,VST,268294.224
2018,1000506,CHEVRON CORP (100%),CHEVRON CORP,1.0,0.0,CVX,0.0
2018,1000507,CHEVRON CORP (100%),CHEVRON CORP,1.0,221868.128,CVX,221868.128
2018,1000510,XCEL ENERGY (100%),XCEL ENERGY,1.0,20564.544,XEL,20564.544
2018,1000520,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,6804.724,BRK.B,6804.724
2018,1000521,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,6728.924,BRK.B,6728.924
2018,1000534,CMS ENERGY CORP (50%); KCR POWER CO LLC (5%); WESTERN MICHIGAN COGENERATION LP (44%); LOUISIANA IRON WORKS INC (1%),CMS ENERGY CORP,0.5,622927.9079999999,CMS,311463.95399999997
2018,1000547,NRG ENERGY INC (50%); OPTIM ENERGY LLC (50%),NRG ENERGY INC,0.5,513077.8,NRG,256538.9
2018,1000550,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,1525706.9440000001,D,1525706.9440000001
2018,1000552,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,2828459.6319999998,D,2828459.6319999998
2018,1000565,SOUTHERN CO (100%),SOUTHERN CO,1.0,435049.042,SO,435049.042
2018,1000567,CONSOLIDATED EDISON INC (100%),CONSOLIDATED EDISON INC,1.0,11086.960000000001,ED,11086.960000000001
2018,1000618,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,34584.714,BRK.B,34584.714
2018,1000619,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,24316.507999999998,BRK.B,24316.507999999998
2018,1000620,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,100826.01999999999,BRK.B,100826.01999999999
2018,1000624,WESTROCK CO (100%),WESTROCK CO,1.0,1104520.708,SW,1104520.708
2018,1000625,HONEYWELL INTERNATIONAL INC (100%),HONEYWELL INTERNATIONAL INC,1.0,148137.881,HON,148137.881
2018,1000628,HONEYWELL INTERNATIONAL INC (100%),HONEYWELL INTERNATIONAL INC,1.0,51367.056000000004,HON,51367.056000000004
2018,1000629,HONEYWELL INTERNATIONAL INC (100%),HONEYWELL INTERNATIONAL INC,1.0,52236.104,HON,52236.104
2018,1000631,HONEYWELL INTERNATIONAL INC (100%),HONEYWELL INTERNATIONAL INC,1.0,7333.371999999999,HON,7333.371999999999
2018,1000635,ALCOA INC (100%),ALCOA INC,1.0,0.0,HWM,0.0
2018,1000637,THE BOEING CO (100%),THE BOEING CO,1.0,29524.688,BA,29524.688
2018,1000638,THE BOEING CO (100%),THE BOEING CO,1.0,23041.044,BA,23041.044
2018,1000639,THE BOEING CO (100%),THE BOEING CO,1.0,37028.16,BA,37028.16
2018,1000640,THE BOEING CO (100%),THE BOEING CO,1.0,72308.124,BA,72308.124
2018,1000644,EXELON CORP (100%),EXELON CORP,1.0,179891.37,EXC,179891.37
2018,1000645,EXELON CORP (100%),EXELON CORP,1.0,5404.912,EXC,5404.912
2018,1000646,EXELON CORP (100%),EXELON CORP,1.0,26739.0,EXC,26739.0
2018,1000653,EXELON CORP (100%),EXELON CORP,1.0,1941333.124,EXC,1941333.124
2018,1000655,EXELON CORP (100%),EXELON CORP,1.0,7968.372,EXC,7968.372
2018,1000670,CMS ENERGY CORP (96.17%); MICHIGAN PUBLIC POWER AGENCY (2.75%); WOLVERINE POWER SUPPLY COOPERATIVE INC (1.08%),CMS ENERGY CORP,0.9617,7737163.856,CMS,7440830.4803152
2018,1000674,DTE ENERGY CO (100%),DTE ENERGY CO,1.0,10490.16,DTE,10490.16
2018,1000676,DTE ENERGY CO (100%),DTE ENERGY CO,1.0,16400874.996000001,DTE,16400874.996000001
2018,1000677,DTE ENERGY CO (100%),DTE ENERGY CO,1.0,830058.658,DTE,830058.658
2018,1000678,DTE ENERGY CO (100%),DTE ENERGY CO,1.0,4758312.784,DTE,4758312.784
2018,1000679,DTE ENERGY CO (100%),DTE ENERGY CO,1.0,1211044.1500000001,DTE,1211044.1500000001
2018,1000680,WEC Energy Group (100%),WEC Energy Group,1.0,1705795.436,WEC,1705795.436
2018,1000689,XCEL ENERGY (100%),XCEL ENERGY,1.0,440183.32,XEL,440183.32
2018,1000690,XCEL ENERGY (100%),XCEL ENERGY,1.0,930917.3,XEL,930917.3
2018,1000691,XCEL ENERGY (100%),XCEL ENERGY,1.0,2705406.554,XEL,2705406.554
2018,1000693,XCEL ENERGY (100%),XCEL ENERGY,1.0,999750.5959999999,XEL,999750.5959999999
2018,1000696,SOUTHERN CO (100%),SOUTHERN CO,1.0,788200.916,SO,788200.916
2018,1000697,SOUTHERN CO (100%),SOUTHERN CO,1.0,4882.232,SO,4882.232
2018,1000698,SOUTHERN CO (100%),SOUTHERN CO,1.0,832921.664,SO,832921.664
2018,1000699,ENTERGY CORP (100%),ENTERGY CORP,1.0,540020.2420000001,ETR,540020.2420000001
2018,1000702,ENTERGY CORP (100%),ENTERGY CORP,1.0,138574.08000000002,ETR,138574.08000000002
2018,1000707,AMEREN CORP (100%),AMEREN CORP,1.0,1445686.148,AEE,1445686.148
2018,1000714,STEEL DYNAMICS INC (100%),STEEL DYNAMICS INC,1.0,103704.748,STLD,103704.748
2018,1000742,PUBLIC SERVICE ENTERPRISE GROUP INC (100%),PUBLIC SERVICE ENTERPRISE GROUP INC,1.0,1660532.308,PEG,1660532.308
2018,1000743,PUBLIC SERVICE ENTERPRISE GROUP INC (100%),PUBLIC SERVICE ENTERPRISE GROUP INC,1.0,28800.059999999998,PEG,28800.059999999998
2018,1000745,PUBLIC SERVICE ENTERPRISE GROUP INC (100%),PUBLIC SERVICE ENTERPRISE GROUP INC,1.0,912.796,PEG,912.796
2018,1000747,PUBLIC SERVICE ENTERPRISE GROUP INC (100%),PUBLIC SERVICE ENTERPRISE GROUP INC,1.0,174209.818,PEG,174209.818
2018,1000753,XCEL ENERGY (100%),XCEL ENERGY,1.0,342811.272,XEL,342811.272
2018,1000755,XCEL ENERGY (100%),XCEL ENERGY,1.0,808853.1,XEL,808853.1
2018,1000759,NRG ENERGY INC (100%),NRG ENERGY INC,1.0,623212.311,NRG,623212.311
2018,1000761,CONSOLIDATED EDISON INC (100%),CONSOLIDATED EDISON INC,1.0,2003208.142,ED,2003208.142
2018,1000766,CONSOLIDATED EDISON INC (100%),CONSOLIDATED EDISON INC,1.0,260405.93600000002,ED,260405.93600000002
2018,1000767,CONSOLIDATED EDISON INC (100%),CONSOLIDATED EDISON INC,1.0,270795.33,ED,270795.33
2018,1000777,PUBLIC SERVICE ENTERPRISE GROUP INC (100%),PUBLIC SERVICE ENTERPRISE GROUP INC,1.0,1921323.7799999998,PEG,1921323.7799999998
2018,1000779,NRG ENERGY INC (100%),NRG ENERGY INC,1.0,544.648,NRG,544.648
2018,1000781,CONSOLIDATED EDISON INC (100%),CONSOLIDATED EDISON INC,1.0,112792.076,ED,112792.076
2018,1000786,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,3051649.374,DUK,3051649.374
2018,1000787,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,5893158.052,DUK,5893158.052
2018,1000790,WEC Energy Group (100%),WEC Energy Group,1.0,657293.494,WEC,657293.494
2018,1000799,NISOURCE INC (100%),NISOURCE INC,1.0,1174870.228,NI,1174870.228
2018,1000800,ENTERGY CORP (100%),ENTERGY CORP,1.0,3634875.6799999997,ETR,3634875.6799999997
2018,1000809,DTE ENERGY CO (100%),DTE ENERGY CO,1.0,546515.2239999999,DTE,546515.2239999999
2018,1000813,EXELON CORP (100%),EXELON CORP,1.0,1686544.8,EXC,1686544.8
2018,1000815,ENTERGY CORP (100%),ENTERGY CORP,1.0,1315174.176,ETR,1315174.176
2018,1000816,DOW CHEMICAL (100%),DOW CHEMICAL,1.0,2814140.14,DOW,2814140.14
2018,1000822,PINNACLE WEST CAPITAL CORP (100%),PINNACLE WEST CAPITAL CORP,1.0,1596867.684,PNW,1596867.684
2018,1000826,ENTERGY CORP (100%),ENTERGY CORP,1.0,1477677.324,ETR,1477677.324
2018,1000828,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,1479575.32,DUK,1479575.32
2018,1000830,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,875330.6479999999,DUK,875330.6479999999
2018,1000831,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,1953656.16,DUK,1953656.16
2018,1000832,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,4903202.502,DUK,4903202.502
2018,1000833,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,1925980.312,DUK,1925980.312
2018,1000834,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,7959693.94,DUK,7959693.94
