case_number,year,name,cik,match,n_defendants,penalty_usd,share_usd
05-2020-9920,2020,Bell Laboratories Inc.,0001067983,subsidiary,1,7000.0,7000.0
04-2021-3205,2021,"ECOFLO, INC",0001060391,subsidiary,1,7000.0,7000.0
04-2015-8002,2016,"NEXAIR PRODUCTION, LLC",0001707925,subsidiary,1,6900.0,6900.0
07-2022-0077,2022,Amcor Flexibles North America Inc.,0001748790,subsidiary,1,6875.0,6875.0
02-2018-4203,2018,"Vulcraft of New York, Inc.",0000073309,subsidiary,1,6850.0,6850.0
07-2025-0021,2025,Corteva Agriscience LLC,0001755672,subsidiary,1,6832.0,6832.0
02-2024-1206,2023,"Sysco Long Island, LLC",0000096021,subsidiary,1,6600.0,6600.0
06-2024-4802,2024,"Entergy Louisiana, LLC",0000065984,subsidiary,2,13000.0,6500.0
04-2017-4503,2017,"LENNAR HOMES,LLC",0000920760,subsidiary,2,13000.0,6500.0
04-2017-2015,2017,"CATLETTSBURG REFINING, LLC",0001510295,subsidiary,1,6320.0,6320.0
03-2023-0098,2023,MERCK SHARP & DOHME CORP.,0000310158,subsidiary,1,6250.0,6250.0
03-2023-0033,2023,"WALMART, INC.",0000104169,name,1,6250.0,6250.0
06-2016-0312,2016,C.H. Robinson International Inc.,0001043277,subsidiary,1,6200.0,6200.0
04-2018-8004,2018,"SYSCO CHARLOTTE, LLC",0000096021,subsidiary,1,6100.0,6100.0
07-2024-0071,2024,Archer-Daniels-Midland Company,0000007084,name,1,5900.0,5900.0
04-2016-2000,2016,"STEEL DYNAMICS COLUMBUS, LLC",0001022671,subsidiary,1,5785.0,5785.0
08-2020-0133,2020,"PDC ENERGY, INC.",0000093410,subsidiary,1,5700.0,5700.0
08-2020-0139,2020,"PDC ENERGY, INC.",0000093410,subsidiary,1,5700.0,5700.0
07-2024-0060,2024,Occidental Chemical Corporation,0000797468,subsidiary,1,5200.0,5200.0
07-2019-0047,2019,TYSON PREPARED FOODS INC,0000100493,subsidiary,1,5100.0,5100.0
10-2022-0232,2022,Schlumberger,0000087347,name,1,5000.0,5000.0
03-2025-0072,2025,UNIVATION TECHNOLOGIES LLC -,0001751788,subsidiary,1,5000.0,5000.0
03-2024-0022,2023,AGILENT TECHNOLOGIES,0001090872,name,1,5000.0,5000.0
01-2024-1012,2024,The Gillette Company,0000080424,subsidiary,1,5000.0,5000.0
10-2022-0218,2022,Weyerhaeuser Company,0000106535,name,1,5000.0,5000.0
04-2022-0402,2022,"CATLETTSBURG REFINING, LLC",0001510295,subsidiary,1,5000.0,5000.0
04-2016-2902,2016,ALABAMA POWER,0000092122,subsidiary,1,4819.0,4819.0
02-2025-1208,2025,"Baxter Healthcare of Puerto Rico, LLC",0000010456,subsidiary,1,4700.0,4700.0
07-2017-0040,2016,"EQUISTAR CHEMICALS, LP",0001489393,subsidiary,1,4600.0,4600.0
04-2025-4100,2025,COSTCO WHOLESALE CORPORATION,0000909832,name,1,4539.0,4539.0
04-2016-5001,2016,NORFOLK SOUTHERN RAILWAY CORPORATION,0000702165,subsidiary,1,4500.0,4500.0
04-2016-5004,2016,"NORFOLK SOUTHERN RAILWAY COMPANY,  INC.",0000702165,subsidiary,1,4500.0,4500.0
04-2016-4526,2016,"STANDARD PACIFIC OF FLORIDA GP, INC.",0000920760,subsidiary,2,8427.0,4213.5
04-2015-8011,2016,THE J.M. SMUCKER COMPANY,0000091419,name,1,4200.0,4200.0
10-2016-0004,2016,"ConocoPhillips Alaska, Inc.",0001163165,subsidiary,1,4000.0,4000.0
10-2023-0122,2023,"Lennar Northwest, LLC",0000920760,subsidiary,1,3900.0,3900.0
03-2018-0109,2018,ALBEMARLE CORPORATION,0000915913,name,1,3838.0,3838.0
07-2019-0038,2018,SYSCO ST LOUIS LLC,0000096021,subsidiary,1,3800.0,3800.0
06-2024-0902,2023,CECOS International Inc.,0001060391,subsidiary,1,3750.0,3750.0
07-2022-0131,2022,Amazon.com Services LLC,0001018724,subsidiary,1,3750.0,3750.0
06-2020-4311,2020,"Houston Refining, LP",0001489393,subsidiary,1,3150.0,3150.0
04-2023-0206,2023,"GENERAL MILLS OPERATIONS, LLC",0000040704,subsidiary,1,2930.0,2930.0
03-2018-0059,2018,"CALPINE BETHLEHEM, LLC",0001868275,subsidiary,1,2700.0,2700.0
06-2020-3309,2020,Rohm & Haas Texas Inc.,0001751788,subsidiary,1,2700.0,2700.0
06-2024-0982,2024,Nalco Production,0000031462,subsidiary,1,2500.0,2500.0
06-2020-3308,2020,Lyondell Chemical Company,0001489393,subsidiary,1,2500.0,2500.0
06-2019-3361,2019,DCP Midstream LP,0001534701,subsidiary,1,2500.0,2500.0
04-2015-8005,2016,"TYSON CHICKEN, INC.",0000100493,subsidiary,1,2400.0,2400.0
04-2021-0405,2022,"FRITO LAY, INC.",0000077476,subsidiary,1,2313.0,2313.0
02-2019-3301,2018,"Regeneron Pharmaceuticals, Inc.",0000872589,name,1,2200.0,2200.0
06-2020-3420,2021,DCP Midstream,0001534701,subsidiary,1,2000.0,2000.0
10-2021-0181,2021,COSTCO WHOLESALE CORPORATION,0000909832,name,1,2000.0,2000.0
06-2024-3353,2024,McLane Foodservice,0001067983,subsidiary,1,2000.0,2000.0
05-2025-5001,2024,MILLER ELECTRIC MFG,0000049826,subsidiary,1,2000.0,2000.0
10-2019-0023,2018,"Sysco Portland, Inc.",0000096021,subsidiary,1,2000.0,2000.0
02-2022-7920,2022,Target,0000027419,name,2,3783.0,1891.5
07-2016-0296,2016,AIR PRODUCTS MANUFACTURING CORPORATION,0000002969,subsidiary,1,1800.0,1800.0
03-2019-0089,2019,INTERNATIONAL PAPER COMPANY,0000051434,name,1,1800.0,1800.0
06-2021-3370,2021,Texas Instruments Inc.,0000097476,name,1,1800.0,1800.0
10-2022-0183,2022,"Riverside, Inc.",0000860730,subsidiary,1,1750.0,1750.0
04-2022-0401,2022,"CATLETTSBURG REFINING, LLC",0001510295,subsidiary,1,1650.0,1650.0
04-2024-0013,2024,"CENTRAL INDUSTRIES, INC",0000100493,subsidiary,1,1533.0,1533.0
04-2016-8003,2016,"WAL-MART STORES, INC.",0000104169,name,1,1500.0,1500.0
06-2023-3326,2023,KM Liquids Terminals LLC,0001506307,subsidiary,1,1500.0,1500.0
04-2016-2020,2016,LOCKHEED MARTIN,0000936468,name,1,1500.0,1500.0
03-2017-0080,2017,THE HERSHEY COMPANY,0000047111,name,1,1500.0,1500.0
06-2019-3511,2019,Enlink Midstream Operating LP,0001039684,subsidiary,1,1440.0,1440.0
10-2024-0034,2024,US ECOLOGY ALASKA LLC,0001060391,subsidiary,1,1250.0,1250.0
06-2020-3371,2020,Targa Resources Corporation,0001389170,name,1,1200.0,1200.0
06-2023-3325,2023,Albemarle Corporation,0000915913,name,1,1200.0,1200.0
03-2018-0005,2017,"WILLIAMS OHIO VALLEY MIDSTREAM, LLC",0000107263,subsidiary,1,1125.0,1125.0
09-2020-0038,2020,"Solar Turbines, Inc.",0000018230,subsidiary,1,969.0,969.0
02-2022-7910,2022,Waste Management,0000823768,name,2,1842.0,921.0
06-2020-3506,2020,Anadarko Petroleum Corporation,0000797468,subsidiary,1,600.0,600.0
06-2023-3341,2023,"Kinder Morgan Energy Partners, L.P.",0001506307,subsidiary,1,600.0,600.0
04-2017-2013,2017,"VALERO REFINING COMPANY-TENNESSEE, L.L.C.",0001035002,subsidiary,1,358.0,358.0
06-2021-4504,2021,DCP Midstream,0001534701,subsidiary,2,500.0,250.0
04-2016-9012,2016,"AEROJET ROCKETDYNE HOLDINGS, INC.",0000202058,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,HONEYWELL,0000773840,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,HUNTINGTON INGALLS INC.,0001501585,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,EATON CORPORATION,0001551182,name,172,40000.0,232.5581395348837
04-2016-9012,2016,THE HERSHEY COMPANY,0000047111,name,172,40000.0,232.5581395348837
04-2016-9012,2016,"ENTERGY ARKANSAS, INC.",0000065984,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,CORNING INC.,0000024741,name,172,40000.0,232.5581395348837
04-2016-9012,2016,VIRGINIA ELECTRIC & POWER COMPANY,0000715957,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,"MARTIN MARIETTA MATERIALS, INC.",0000916076,name,172,40000.0,232.5581395348837
04-2016-9012,2016,KINGSPORT POWER COMPANY,0000004904,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,MIDAMERICAN ENERGY COMPANY,0001067983,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,PHILLIPS 66 COMPANY,0001534701,name,172,40000.0,232.5581395348837
04-2016-9012,2016,WEYERHAEUSER COMPANY,0000106535,name,172,40000.0,232.5581395348837
04-2016-9012,2016,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",0000107263,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,BALTIMORE GAS & ELECTRIC COMPANY,0001109357,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,"CATERPILLAR, INC.",0000018230,name,172,40000.0,232.5581395348837
04-2016-9012,2016,NUCOR CORPORATION,0000073309,name,172,40000.0,232.5581395348837
04-2016-9012,2016,OCCIDENTAL CHEMICAL CORP.,0000797468,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,NEW HAMPSHIRE INSURANCE COMPANY,0000005272,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,NORFOLK SOUTHERN RAILWAY CO.,0000702165,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,ALCOA INC.,0000004281,name,172,40000.0,232.5581395348837
04-2016-9012,2016,"AIR PRODUCTS AND CHEMICALS, INC.",0000002969,name,172,40000.0,232.5581395348837
04-2016-9012,2016,UNION CARBIDE CORP.,0001751788,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,INTERNATIONAL PAPER COMPANY,0000051434,name,172,40000.0,232.5581395348837
04-2016-9012,2016,KRAFT HEINZ FOODS COMPANY,0001637459,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,PARKER HANNIFIN CORP.,0000076334,name,172,40000.0,232.5581395348837
04-2016-9012,2016,ROANOKE ELECTRIC STEEL CORP.,0001022671,subsidiary,172,40000.0,232.5581395348837
04-2016-9012,2016,THE HILLSHIRE BRANDS COMPANY,0000100493,subsidiary,172,40000.0,232.5581395348837
