ticker,year,co2e_tonnes,revenue_usd,raw_ratio
AJG,2022,0.0,8550600000.0,0.0
AJG,2023,0.0,10072000000.0,0.0
AKAM,2018,0.0,2714474000.0,0.0
AKAM,2019,0.0,2893617000.0,0.0
AKAM,2020,0.0,3198149000.0,0.0
AKAM,2021,0.0,3461223000.0,0.0
AKAM,2022,0.0,3616654000.0,0.0
AKAM,2023,0.0,3811920000.0,0.0
ALB,2018,239550.47999999998,3374950000.0,70.97897154031911
ALB,2019,242638.72000000003,3589427000.0,67.598176533469
ALB,2020,238652.484,3128909000.0,76.27338602688668
ALB,2021,230764.11199999996,3327957000.0,69.34107381796098
ALB,2022,236979.24200000003,7320104000.0,32.37375343301134
ALB,2023,229671.722,9617203000.0,23.88134283949294
ALGN,2018,0.0,1966492000.0,0.0
ALGN,2019,0.0,2406796000.0,0.0
ALGN,2020,0.0,2471941000.0,0.0
ALGN,2021,0.0,3952584000.0,0.0
ALGN,2022,0.0,3734635000.0,0.0
ALGN,2023,0.0,3862260000.0,0.0
ALL,2018,0.0,39815000000.0,0.0
ALL,2019,0.0,41541000000.0,0.0
ALL,2020,0.0,41909000000.0,0.0
ALL,2021,0.0,50601000000.0,0.0
ALL,2022,0.0,51411000000.0,0.0
ALL,2023,0.0,57094000000.0,0.0
ALLE,2018,0.0,2731700000.0,0.0
ALLE,2019,0.0,2854000000.0,0.0
ALLE,2020,0.0,2719900000.0,0.0
ALLE,2021,0.0,2867400000.0,0.0
ALLE,2022,0.0,3271900000.0,0.0
ALLE,2023,0.0,3650800000.0,0.0
AMAT,2018,0.0,16705000000.0,0.0
AMAT,2019,0.0,14608000000.0,0.0
AMAT,2020,0.0,17202000000.0,0.0
AMAT,2021,0.0,23063000000.0,0.0
AMAT,2022,0.0,25785000000.0,0.0
AMAT,2023,0.0,26517000000.0,0.0
AMCR,2018,0.0,9319100000.0,0.0
AMCR,2019,88874.216,9458200000.0,9.396525343088536
AMCR,2020,93077.998,12468000000.0,7.465351138915625
AMCR,2021,88039.268,12861000000.0,6.845444988725604
AMCR,2022,83113.288,14544000000.0,5.7146100110011
AMCR,2023,67064.348,10410000000.0,6.442300480307397
AMD,2018,0.0,6475000000.0,0.0
AMD,2019,0.0,6731000000.0,0.0
AMD,2020,0.0,9763000000.0,0.0
AMD,2021,0.0,16434000000.0,0.0
AMD,2022,0.0,23601000000.0,0.0
AMD,2023,0.0,22680000000.0,0.0
AME,2018,0.0,4845872000.0,0.0
AME,2019,0.0,5158557000.0,0.0
AME,2020,0.0,4540029000.0,0.0
AME,2021,0.0,5546514000.0,0.0
AME,2022,0.0,6150530000.0,0.0
AME,2023,0.0,6596950000.0,0.0
AMGN,2018,25065.296,23747000000.0,1.0555142123215564
AMGN,2019,35993.516,23362000000.0,1.540686413834432
AMGN,2020,49616.696,25424000000.0,1.9515692259282569
AMGN,2021,41579.632,25979000000.0,1.6005093344624504
AMGN,2022,36979.00399999999,26323000000.0,1.4048172320784102
AMGN,2023,61780.352,28190000000.0,2.191569776516495
AMP,2018,0.0,12924000000.0,0.0
AMP,2019,0.0,13103000000.0,0.0
AMP,2020,0.0,11958000000.0,0.0
AMP,2021,0.0,13389000000.0,0.0
AMP,2022,0.0,14334000000.0,0.0
AMP,2023,0.0,16096000000.0,0.0
AMT,2018,0.0,491300000.0,0.0
AMT,2019,0.0,7580300000.0,0.0
AMT,2020,0.0,8041500000.0,0.0
AMT,2021,0.0,9356900000.0,0.0
AMT,2022,0.0,9645400000.0,0.0
AMT,2023,0.0,10012200000.0,0.0
AMZN,2018,0.0,232887000000.0,0.0
AMZN,2019,0.0,280522000000.0,0.0
AMZN,2020,0.0,386064000000.0,0.0
AMZN,2021,0.0,469822000000.0,0.0
AMZN,2022,0.0,513983000000.0,0.0
AMZN,2023,0.0,574785000000.0,0.0
ANET,2018,0.0,2151369000.0,0.0
ANET,2019,0.0,2410706000.0,0.0
ANET,2020,0.0,2317512000.0,0.0
ANET,2021,0.0,2948037000.0,0.0
ANET,2022,0.0,4381310000.0,0.0
ANET,2023,0.0,5860200000.0,0.0
AON,2018,0.0,10770000000.0,0.0
AON,2019,0.0,11013000000.0,0.0
AON,2020,0.0,11066000000.0,0.0
AON,2021,0.0,12193000000.0,0.0
AON,2022,0.0,12479000000.0,0.0
AON,2023,0.0,13376000000.0,0.0
AOS,2018,0.0,3187900000.0,0.0
AOS,2019,0.0,2992700000.0,0.0
AOS,2020,0.0,2895300000.0,0.0
AOS,2021,0.0,3538900000.0,0.0
AOS,2022,0.0,3753900000.0,0.0
AOS,2023,0.0,3852800000.0,0.0
APD,2018,12523837.754,8930200000.0,1402.4140281292691
APD,2019,12683847.954,8918900000.0,1422.13142360605
APD,2020,11606324.656,8856300000.0,1310.5162038323003
APD,2021,12455740.833999999,10323000000.0,1206.6008751331976
APD,2022,13342137.824000001,12698600000.0,1050.677856141622
APD,2023,14072905.322,12600000000.0,1116.897247777778
APH,2018,0.0,8202000000.0,0.0
APH,2019,0.0,8225400000.0,0.0
APH,2020,0.0,8598900000.0,0.0
APH,2021,0.0,10876300000.0,0.0
APH,2022,0.0,12623000000.0,0.0
APH,2023,0.0,12555000000.0,0.0
APO,2020,0.0,2354000000.0,0.0
APO,2021,0.0,5951000000.0,0.0
APO,2022,0.0,10968000000.0,0.0
APO,2023,0.0,32644000000.0,0.0
APP,2019,0.0,994104000.0,0.0
APP,2020,0.0,1451086000.0,0.0
APP,2021,0.0,2793104000.0,0.0
APP,2022,0.0,2817058000.0,0.0
APP,2023,0.0,1841762000.0,0.0
APTV,2018,0.0,14435000000.0,0.0
APTV,2019,0.0,14357000000.0,0.0
APTV,2020,0.0,13066000000.0,0.0
APTV,2021,0.0,15618000000.0,0.0
APTV,2022,0.0,17489000000.0,0.0
APTV,2023,0.0,20051000000.0,0.0
ARE,2018,0.0,1327459000.0,0.0
ARE,2019,0.0,1531296000.0,0.0
ARE,2020,0.0,1885637000.0,0.0
ARE,2021,0.0,2114150000.0,0.0
ARE,2022,0.0,2588962000.0,0.0
ARE,2023,0.0,2885699000.0,0.0
ARES,2018,0.0,958461000.0,0.0
ARES,2019,387175.3138400001,1765438000.0,219.30836078072414
ARES,2020,369742.53820000007,1764046000.0,209.59914775465043
ARES,2021,1309322.0672000002,4212091000.0,310.84847578079393
ARES,2022,1485114.0960000001,3055443000.0,486.05524501684374
ARES,2023,1454174.0512,3631884000.0,400.39110588333773
ATO,2018,948565.774,3115546000.0,304.4621308752944
ATO,2019,936696.84,2901848000.0,322.7932131524463
ATO,2020,879252.56,2821137000.0,311.6660268537118
ATO,2021,760242.162,3407490000.0,223.109139571943
ATO,2022,754296.436,4201662000.0,179.5233495697655
ATO,2023,737121.0920000001,4275357000.0,172.41158855272204
AVGO,2018,172334.225758,20848000000.0,8.26622341509977
AVGO,2019,182824.213364,22597000000.0,8.090640941894941
AVGO,2020,139671.188379,23888000000.0,5.846918468645345
AVGO,2021,125323.092167,27450000000.0,4.565504268378871
AVGO,2022,78584.468743,33203000000.0,2.3667882041682984
AVGO,2023,34457.051985,35819000000.0,0.9619769391942823
AVY,2018,0.0,7159000000.0,0.0
AVY,2019,0.0,7070100000.0,0.0
AVY,2020,0.0,6971500000.0,0.0
AVY,2021,0.0,8408300000.0,0.0
AVY,2022,0.0,9039300000.0,0.0
AVY,2023,0.0,8364300000.0,0.0
AWK,2018,0.0,3417000000.0,0.0
AWK,2019,0.0,3587000000.0,0.0
AWK,2020,0.0,3743000000.0,0.0
AWK,2021,0.0,3914000000.0,0.0
AWK,2022,0.0,3763000000.0,0.0
AWK,2023,0.0,4217000000.0,0.0
