ticker,data_status,n_committees,committee_ids,n_transactions,unresolved_cycles,evidence
PGR,unresolved,0,,0,,FEC committee master has: battleground blue pac; congressional progressive caucus pac; dem turnout 2026
PH,downloaded,1,C00135459,88,,"1 matched committee(s), 88 transactions"
PHM,downloaded,1,C00560839,91,,"1 matched committee(s), 91 transactions"
PKG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PLD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PLTR,downloaded,1,C00498691,54,,"1 matched committee(s), 54 transactions"
PM,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PNC,downloaded,3,C00035519|C00142596|C00186064,2447,,"3 matched committee(s), 2447 transactions"
PNR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PNW,downloaded,1,C00015933,1425,,"1 matched committee(s), 1425 transactions"
PODD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PPG,downloaded,1,C00034298,317,,"1 matched committee(s), 317 transactions"
PPL,unresolved,0,,0,,FEC committee master has: lg e ku political action committee; ppl people for good government
PRU,downloaded,2,C00127779|C00493304,2588,,"2 matched committee(s), 2588 transactions"
PSA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PSKY,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PSX,downloaded,1,C00513549,1550,,"1 matched committee(s), 1550 transactions"
PTC,unresolved,0,,0,,FEC committee master has: ptc therapeutics; ptc therapeutics political action committee ptc pac
PWR,downloaded,1,C00720920,157,,"1 matched committee(s), 157 transactions"
PYPL,downloaded,1,C00581686,199,,"1 matched committee(s), 199 transactions"
Q,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
QCOM,downloaded,1,C00339085,484,,"1 matched committee(s), 484 transactions"
RCL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
RDDT,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
REG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
REGN,downloaded,1,C00562264,380,,"1 matched committee(s), 380 transactions"
RF,downloaded,1,C00432252,2842,,"1 matched committee(s), 2842 transactions"
RJF,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
RL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
RMD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ROK,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ROL,downloaded,1,C00131219,25,,"1 matched committee(s), 25 transactions"
ROP,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ROST,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
RSG,downloaded,1,C00428391,109,,"1 matched committee(s), 109 transactions"
RTX,downloaded,2,C00035683|C00097568,9116,,"2 matched committee(s), 9116 transactions"
RVTY,unresolved,0,,0,,FEC committee master has: revvity; revvity pac revvity pac
SBAC,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SBUX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SCHW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SHW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SJM,unresolved,0,,0,,FEC committee master has: j m smucker; j m smucker pac smucker pac
SLB,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SMCI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SNA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SNDK,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SNPS,unresolved,0,,0,,FEC committee master has: synopsys; synopsys political action committee synopsys pac
SO,downloaded,3,C00144774|C00145037|C00250407,2775,,"3 matched committee(s), 2775 transactions"
SOLV,downloaded,1,C00906925,23,,"1 matched committee(s), 23 transactions"
SPG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SPGI,downloaded,1,C00494682,603,,"1 matched committee(s), 603 transactions"
SRE,downloaded,1,C00008748,1384,,"1 matched committee(s), 1384 transactions"
STE,downloaded,1,C00368720,226,,"1 matched committee(s), 226 transactions"
STLD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
STT,downloaded,1,C00072751,842,,"1 matched committee(s), 842 transactions"
STX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
STZ,downloaded,1,C00304832,493,,"1 matched committee(s), 493 transactions"
SW,downloaded,1,C00117424,489,,"1 matched committee(s), 489 transactions"
SWK,downloaded,1,C00060087,343,,"1 matched committee(s), 343 transactions"
SWKS,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SYF,downloaded,1,C00589119,947,,"1 matched committee(s), 947 transactions"
SYK,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
SYY,downloaded,1,C00589663,372,,"1 matched committee(s), 372 transactions"
T,downloaded,3,C00109017|C00339291|C00377044,9713,,"3 matched committee(s), 9713 transactions"
TAP,downloaded,1,C00457697,447,,"1 matched committee(s), 447 transactions"
TDG,downloaded,1,C00714329,217,,"1 matched committee(s), 217 transactions"
TDY,downloaded,1,C00357285,3,,"1 matched committee(s), 3 transactions"
TECH,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TEL,downloaded,1,C00433482,448,,"1 matched committee(s), 448 transactions"
TER,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TFC,downloaded,3,C00009639|C00075291|C00386524,1764,,"3 matched committee(s), 1764 transactions"
TGT,downloaded,1,C00098061,1632,,"1 matched committee(s), 1632 transactions"
TJX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TKO,downloaded,1,C00459693,93,,"1 matched committee(s), 93 transactions"
TMO,downloaded,1,C00292318,664,,"1 matched committee(s), 664 transactions"
TMUS,downloaded,2,C00089342|C00361758,4785,,"2 matched committee(s), 4785 transactions"
TPL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TPR,unresolved,0,,0,,FEC committee master has: ciarrocchi; coach guys leadership pac; coach lowes gremlins
TRGP,downloaded,1,C00510016,154,,"1 matched committee(s), 154 transactions"
TRMB,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TROW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TRV,downloaded,1,C00376376,944,,"1 matched committee(s), 944 transactions"
TSCO,downloaded,1,C00763664,362,,"1 matched committee(s), 362 transactions"
TSLA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TSN,downloaded,1,C00169821,1121,,"1 matched committee(s), 1121 transactions"
TT,downloaded,1,C00492314,96,,"1 matched committee(s), 96 transactions"
TTD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TTWO,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
TXN,downloaded,1,C00007070,589,,"1 matched committee(s), 589 transactions"
TXT,downloaded,1,C00123612,1956,,"1 matched committee(s), 1956 transactions"
TYL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
UAL,downloaded,2,C00078261|C00101766,1201,,"2 matched committee(s), 1201 transactions"
UBER,downloaded,1,C00907683,33,,"1 matched committee(s), 33 transactions"
UDR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
UHS,downloaded,1,C00185520,276,,"1 matched committee(s), 276 transactions"
ULTA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
UNH,downloaded,1,C00274431,3285,,"1 matched committee(s), 3285 transactions"
UNP,downloaded,1,C00010470,4036,,"1 matched committee(s), 4036 transactions"
UPS,downloaded,1,C00064766,7853,,"1 matched committee(s), 7853 transactions"
URI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
USB,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
V,downloaded,1,C00365122,2317,,"1 matched committee(s), 2317 transactions"
VEEV,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
VICI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
VLO,downloaded,1,C00109546,1471,,"1 matched committee(s), 1471 transactions"
VLTO,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
VMC,downloaded,1,C00116020,558,,"1 matched committee(s), 558 transactions"
VMRK,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
VRSK,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
VRSN,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
VRT,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
VRTX,downloaded,1,C00468660,838,,"1 matched committee(s), 838 transactions"
VST,downloaded,3,C00226548|C00255950|C00478685,907,,"3 matched committee(s), 907 transactions"
VTR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
VTRS,downloaded,1,C00332395,566,,"1 matched committee(s), 566 transactions"
VZ,downloaded,1,C00186288,6075,,"1 matched committee(s), 6075 transactions"
WAB,unresolved,0,,0,,FEC committee master has: westinghouse air brake technologies; westinghouse air brake technologies political action committee wabtec pac
WAT,unresolved,0,,0,,FEC committee master has: none; people helping people; waters
WBD,unresolved,0,,0,,FEC committee master has: discovery communications; discovery communications pac; discovery communications pac wbd pac
WDAY,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
WDC,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
WEC,downloaded,2,C00099945|C00442707,239,,"2 matched committee(s), 239 transactions"
WELL,unresolved,0,,0,,FEC committee master has: welltower; welltower political action committee welltower pac
WFC,downloaded,4,C00012518|C00034595|C00300178|C00429852,2704,,"4 matched committee(s), 2704 transactions"
WM,downloaded,1,C00119008,459,,"1 matched committee(s), 459 transactions"
WMB,downloaded,2,C00040394|C00933200,1622,,"2 matched committee(s), 1622 transactions"
WMT,downloaded,1,C00093054,6326,,"1 matched committee(s), 6326 transactions"
WRB,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
WSM,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
WST,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
WTW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
WY,downloaded,2,C00007948|C00255224,1387,,"2 matched committee(s), 1387 transactions"
WYNN,downloaded,1,C00475475,82,,"1 matched committee(s), 82 transactions"
XEL,downloaded,1,C00107771,1305,,"1 matched committee(s), 1305 transactions"
XOM,downloaded,1,C00121368,2922,,"1 matched committee(s), 2922 transactions"
XYL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
XYZ,unresolved,0,,0,,FEC committee master has: block adam; block by block pac; block david m
YUM,downloaded,1,C00329474,314,,"1 matched committee(s), 314 transactions"
ZBH,downloaded,1,C00399386,363,,"1 matched committee(s), 363 transactions"
ZBRA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ZTS,downloaded,1,C00541177,197,,"1 matched committee(s), 197 transactions"
