ticker,data_status,n_committees,committee_ids,n_transactions,unresolved_cycles,evidence
CAH,downloaded,1,C00332833,1040,,"1 matched committee(s), 1040 transactions"
CARR,downloaded,1,C00740704,191,,"1 matched committee(s), 191 transactions"
CASY,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CAT,downloaded,1,C00148031,1866,,"1 matched committee(s), 1866 transactions"
CB,downloaded,2,C00229203|C00348938,602,,"2 matched committee(s), 602 transactions"
CBOE,downloaded,1,C00100693,818,,"1 matched committee(s), 818 transactions"
CBRE,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CCI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CCL,downloaded,1,C00287714,103,,"1 matched committee(s), 103 transactions"
CDNS,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CDW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CEG,downloaded,1,C00793711,813,,"1 matched committee(s), 813 transactions"
CF,downloaded,1,C00076588,129,,"1 matched committee(s), 129 transactions"
CFG,downloaded,1,C00307249,678,,"1 matched committee(s), 678 transactions"
CHD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CHRW,downloaded,1,C00512673,116,,"1 matched committee(s), 116 transactions"
CHTR,downloaded,1,C00426775,4762,,"1 matched committee(s), 4762 transactions"
CI,downloaded,1,C00085316,2770,,"1 matched committee(s), 2770 transactions"
CIEN,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CINF,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CLX,downloaded,1,C00062224,119,,"1 matched committee(s), 119 transactions"
CMCSA,downloaded,1,C00248716,8037,,"1 matched committee(s), 8037 transactions"
CME,downloaded,1,C00076299,2442,,"1 matched committee(s), 2442 transactions"
CMG,unresolved,0,,0,,FEC committee master has: chipotle mexican grill pac chipotle pac
CMI,downloaded,1,C00377952,1144,,"1 matched committee(s), 1144 transactions"
CMS,downloaded,1,C00075473,728,,"1 matched committee(s), 728 transactions"
CNC,downloaded,2,C00230789|C00397851,1433,,"2 matched committee(s), 1433 transactions"
CNP,downloaded,2,C00240069|C00333534,401,,"2 matched committee(s), 401 transactions"
COF,downloaded,1,C00326595,2667,,"1 matched committee(s), 2667 transactions"
COHR,downloaded,1,C00377960,26,,"1 matched committee(s), 26 transactions"
COIN,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
COO,unresolved,0,,0,,FEC committee master has: cooper; cooper 4 congress ga; cooper for az 04
COP,downloaded,1,C00112896,638,,"1 matched committee(s), 638 transactions"
COR,downloaded,1,C00400929,2211,,"1 matched committee(s), 2211 transactions"
COST,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CPAY,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CPRT,downloaded,1,C00452581,72,,"1 matched committee(s), 72 transactions"
CPT,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CRH,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CRL,unresolved,0,,0,,FEC committee master has: charles river laboratories international; charles river laboratories international pac
CRM,downloaded,1,C00511600,257,,"1 matched committee(s), 257 transactions"
CRWD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CSCO,downloaded,1,C00362707,936,,"1 matched committee(s), 936 transactions"
CSGP,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CSX,downloaded,1,C00163832,2730,,"1 matched committee(s), 2730 transactions"
CTAS,downloaded,1,C00449165,255,,"1 matched committee(s), 255 transactions"
CTSH,downloaded,1,C00485979,173,,"1 matched committee(s), 173 transactions"
CTVA,downloaded,1,C00247981,360,,"1 matched committee(s), 360 transactions"
CVNA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
CVS,downloaded,1,C00384818,2003,,"1 matched committee(s), 2003 transactions"
CVX,downloaded,2,C00035006|C00558759,2372,,"2 matched committee(s), 2372 transactions"
D,downloaded,3,C00108209|C00200907|C00545319,1978,,"3 matched committee(s), 1978 transactions"
DAL,downloaded,1,C00104802,3259,,"1 matched committee(s), 3259 transactions"
DASH,unresolved,0,,0,,FEC committee master has: doordash; doordash political action committee dashpac
DD,downloaded,1,C00171926,280,,"1 matched committee(s), 280 transactions"
DDOG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DE,downloaded,1,C00204099,1030,,"1 matched committee(s), 1030 transactions"
DECK,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DELL,downloaded,1,C00369751,1905,,"1 matched committee(s), 1905 transactions"
DG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DGX,downloaded,1,C00329185,497,,"1 matched committee(s), 497 transactions"
DHI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DHR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DIS,downloaded,1,C00197749,939,,"1 matched committee(s), 939 transactions"
DLR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DLTR,unresolved,0,,0,,FEC committee master has: dollar tree; dollar tree governmental initiative
DOC,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DOV,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DOW,downloaded,2,C00074096|C00386672,1489,,"2 matched committee(s), 1489 transactions"
DPZ,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
DRI,downloaded,1,C00108282,43,,"1 matched committee(s), 43 transactions"
DTE,downloaded,1,C00081547,1140,,"1 matched committee(s), 1140 transactions"
DUK,downloaded,2,C00083535|C00144824,2703,,"2 matched committee(s), 2703 transactions"
DVA,downloaded,1,C00340943,3005,,"1 matched committee(s), 3005 transactions"
DVN,downloaded,1,C00354753,338,,"1 matched committee(s), 338 transactions"
DXCM,unresolved,0,,0,,FEC committee master has: dexcom; dexcom political action committee dexcom pac
EBAY,downloaded,1,C00342394,638,,"1 matched committee(s), 638 transactions"
ECHO,downloaded,1,C00330647,786,,"1 matched committee(s), 786 transactions"
ECL,downloaded,1,C00101485,807,,"1 matched committee(s), 807 transactions"
ED,downloaded,1,C00407635,76,,"1 matched committee(s), 76 transactions"
EFX,downloaded,1,C00143867,432,,"1 matched committee(s), 432 transactions"
EG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
EIX,downloaded,1,C00019653,1373,,"1 matched committee(s), 1373 transactions"
EL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ELV,downloaded,1,C00197228,4298,,"1 matched committee(s), 4298 transactions"
EME,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
EMR,downloaded,1,C00080515,457,,"1 matched committee(s), 457 transactions"
EOG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
EQIX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
EQT,downloaded,1,C00151175,145,,"1 matched committee(s), 145 transactions"
ERIE,downloaded,1,C00153577,370,,"1 matched committee(s), 370 transactions"
ES,downloaded,1,C00102160,222,,"1 matched committee(s), 222 transactions"
ESS,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ETN,downloaded,1,C00034827,277,,"1 matched committee(s), 277 transactions"
ETR,downloaded,1,C00363879,2031,,"1 matched committee(s), 2031 transactions"
EVRG,downloaded,1,C00111310,157,,"1 matched committee(s), 157 transactions"
EW,downloaded,1,C00411900,1244,,"1 matched committee(s), 1244 transactions"
EXC,downloaded,2,C00141218|C00385849,2029,,"2 matched committee(s), 2029 transactions"
EXE,downloaded,1,C00389288,497,,"1 matched committee(s), 497 transactions"
EXPD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
EXPE,unresolved,0,,0,,FEC committee master has: expedia; expedia political action commitee; expedia political action committee
EXR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
F,downloaded,1,C00046474,2501,,"1 matched committee(s), 2501 transactions"
FANG,downloaded,1,C00135855,155,,"1 matched committee(s), 155 transactions"
